KDModButtonDLSEMCM,"Doll.Lia's Toy Box"
KinkyDungeonInventoryItemDLSE_FreezingPointDesc2,"The broken blade is almost worthless in combat. However, the hilt seems to resonate with ancient power crystals?"

KinkyDungeonInventoryItemDLSE_FreezingPointBroken,"Broken Rapier"
KinkyDungeonInventoryItemDLSE_FreezingPointBrokenDesc,"It was once an elegant blade."
KinkyDungeonInventoryItemDLSE_FreezingPointBrokenDesc2,"The broken blade is almost worthless in combat. However, the hilt seems to resonate with ancient power crystals?"

KDFreezingPointTransformation,"Your broken rapier transforms when exposed to an ancient power source!"

KinkyDungeonInventoryItemDLSE_FreezingPointTransformed,"Freezing Point"
KinkyDungeonInventoryItemDLSE_FreezingPointTransformedDesc,"This broken blade mends itself with ice!"
KinkyDungeonInventoryItemDLSE_FreezingPointTransformedDesc2,"Deals pierce damage. Draws 30 charge over 5 turns to form a frigid blade that deals 10 bonus ice damage, increased to 40 against vulnerable targets. Special attack launches the blade."

ItemPickupDLSE_FreezingPoint,"You pick up the frigid hilt of a broken sword."
LootRubbleDLSE_FreezingPoint,"You find a broken rapier, its blade snapped in two."
KinkyDungeonSpecialDLSE_FreezingPoint,"Frozen Needle: Launch the ice blade as a projectile."
KDPrereqFailFPLoaded,"The weapon needs to form its ice blade first."
KinkyDungeonBuffDLSE_FreezingPointLoad,"Reforming: Your weapon is freezing a new blade."
KinkyDungeonSpellTargetDLSE_FreezingPoint_Special,Choose projectile path
KinkyDungeonSpellDLSE_FreezingPoint_Special,Frozen Needle
KinkyDungeonSpellCastDLSE_FreezingPoint_Special,"You launch Freezing Point's blade!"

KinkyDungeonInventoryItemDLSE_FracturedVessel,"Fractured Vessel"
KinkyDungeonInventoryItemDLSE_FracturedVesselDesc,"Try as you might, it can never be filled."
KinkyDungeonInventoryItemDLSE_FracturedVesselDesc2,"Deals pierce damage. Deals 50 soap damage instead on vulnerable targets. The waters drench yourself and targets hit, granting fire resist, ice/electric weakness, and conductivity."
ItemPickupDLSE_FracturedVessel,"You pick up an ivory blade that flows with water!"
KinkyDungeonSpecialDLSE_FracturedVessel,"???: Not Implemented, uh-oh."

KinkyDungeonSpellDLSE_HalberdHew,"Hew"
KinkyDungeonSpellCastDLSE_HalberdHew,
KinkyDungeonSpellCastFailDLSE_HalberdHew,"There's an obstacle in the way!"
KinkyDungeonSpellDLSE_GiantSwing,"Giant Swing"
KinkyDungeonSpellCastDLSE_GiantSwing,
KinkyDungeonSpellCastFailDLSE_GiantSwing,"There's an obstacle in the way!"
KinkyDungeonSpellDLSE_GiantSwingShort,"Giant Swing"
KinkyDungeonSpellCastDLSE_GiantSwingShort,
KinkyDungeonSpellCastFailDLSE_GiantSwingShort,"There's an obstacle in the way!"


KinkyDungeonInventoryItemDLSE_MaceInquisitor,"Inquisitor's Mace"
KinkyDungeonInventoryItemDLSE_MaceInquisitorDesc,"We have ways of making you talk...~"
KinkyDungeonInventoryItemDLSE_MaceInquisitorDesc2,"Deals grope damage. Flick the switch to deal 20 charm damage instead."
ItemPickupDLSE_MaceInquisitor,"You pick up a mace with a suspiciously soft head."
KinkyDungeonSpecialDLSE_MaceInquisitor,"Toggle ON/OFF: Why does this weapon have a switch?"
KinkyDungeonPlaySelfDLSE_MaceInquisitor,"You play with yourself using the soft tip..."
KDDLSE_MaceInquisitor_ON,"You flick the switch ON, and the weapon buzzes to life!"
KDDLSE_MaceInquisitor_OFF,"You flick the switch OFF, and the weapon is silent."



KDPlayerTitleCategory_DLSE_PlayerTitles,DollLia's Toy Box

KDPlayerTitle_DLSE_SpellMasteryLight,Blind Angel
KDPlayerTitleDesc_DLSE_SpellMasteryLight,Unlocked by learning every new spell under Blessing of Light.|- Waves of Light|- Purging Cross|- Leap of Faith|- Divine Guidance|- Wrathful Smite
KDPlayerTitle_DLSE_SpellMasteryShadow,Shadow Doll
KDPlayerTitleDesc_DLSE_SpellMasteryShadow,Unlocked by learning every new spell under Blessing of Shadow.|- Dark Scattershot|- Whirling Scythe|- Wicked Edges|- Blade of Darkness
